"Date of Download: 2023-10-05_19:41:25"
"Search Parameters: Data Level:plot  Trait List:79176,79120,79219  Trial List:1424,1425,1426,1427,1428,1429,1430,1431  Accession List:  Plot List:313912,313930,313922,313906,313917,313914,313929,313905,313902,313927,313908,313924,313918,313925,313923,313913,313919,313928,313907,313901,313926,313920,313899,313910,313934,313933,313911,313921,313909,313915,313932,313900,313931,313916,313904,313903,313942,313965,313957,313952,313945,313946,313964,313948,313936,313969,313950,313959,313956,313954,313958,313940,313961,313970,313951,313939,313955,313960,313937,313949,313967,313966,313941,313962,313953,313943,313968,313938,313963,313944,313947,313935,313976,313994,314002,313981,313971,313974,313995,313983,313986,313997,313982,314000,314006,313999,314001,313975,314003,313996,313980,313987,313998,314005,313989,313978,313990,313991,313977,314004,313979,313973,313992,313988,313993,313972,313984,313985,314012,314030,314038,314018,314008,314010,314031,314019,314022,314033,314017,314036,314042,314035,314037,314011,314040,314032,314016,314023,314034,314041,314025,314014,314026,314027,314013,314039,314015,314009,314028,314024,314029,314007,314020,314021,314069,314047,314053,314064,314072,314073,314046,314061,314078,314043,314065,314054,314051,314058,314052,314067,314057,314044,314063,314076,314059,314056,314074,314062,314049,314048,314068,314055,314066,314070,314050,314075,314045,314071,314060,314077,314084,314103,314109,314089,314079,314082,314102,314091,314094,314105,314090,314108,314114,314107,314110,314083,314112,314104,314088,314095,314106,314113,314097,314086,314098,314099,314085,314111,314087,314081,314100,314096,314101,314080,314092,314093,314143,314121,314128,314135,314140,314139,314120,314137,314149,314116,314133,314126,314129,314131,314127,314145,314125,314115,314134,314146,314130,314124,314148,314136,314118,314119,314144,314123,314132,314142,314117,314147,314122,314141,314138,314150,314177,314155,314160,314171,314179,314181,314154,314169,314186,314151,314172,314162,314159,314166,314161,314175,314165,314152,314173,314184,314167,314163,314182,314170,314157,314156,314176,314164,314174,314178,314158,314183,314153,314180,314168,314185  Plant List:  Location List:  Year List:2022  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Total milling percentage|LSU_01:0000101","Whole milling percentage|LSU_01:0000100","Yield|LSU_01:0000138","notes","22_DOP_1_Harvesting Diff Dates"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","49060","RU2002182","181L1578","plot","313902","22_DOP_1-rep1-RU2002182_9","1","1","9","2","4","test","","69.4","61.97","9607.46193664773","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","56973","RU2102186","193L2086","plot","313929","22_DOP_1-rep1-RU2102186_7","1","1","7","2","6","test","","71.82","62.65","9070.32355227273","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","53477","203L1104","RU2302011","plot","313913","22_DOP_1-rep2-203L1104_16","2","2","16","3","4","test","","70.13","64.48","8244.25404034091","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","60424","AddiJo","181L2027,20NTPID-375,RU2002126","plot","313907","22_DOP_1-rep2-AddiJo_19","2","2","19","4","6","test","","69.37","59.57","7952.29229914773","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","47237","Avant","171L1755,19NTPID-347,20NTPID-330,RU1902212","plot","313918","22_DOP_1-rep2-Avant_13","2","2","13","3","1","test","","69.36","62.75","9812.82389318182","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","43808","CLL17","17NTPID-127,19NTPID-103,20NTPID-100,CA17245,RU1602097","plot","313928","22_DOP_1-rep2-CLL17_18","2","2","18","3","6","test","","68.87","62.82","9072.92988","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","51423","DG263L","RU2102020","plot","313910","22_DOP_1-rep2-DG263L_24","2","2","24","4","1","test","","65.62","55.31","11138.5961345455","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","49955","DGL2065","20DGL2065","plot","313926","22_DOP_1-rep2-DGL2065_21","2","2","21","4","4","test","","70.76","65.53","8105.01249681818","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","46822","PVL03","183L2069,20NTPID-370,RU2002074","plot","313899","22_DOP_1-rep2-PVL03_23","2","2","23","4","2","test","","70.51","62.73","11501.5424236364","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","313898","RT7331MA","","plot","313901","22_DOP_1-rep2-RT7331MA_20","2","2","20","4","5","test","","69.35","61.16","10352.6292175568","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","46101","RTv7231MA","","plot","313925","22_DOP_1-rep2-RTv7231MA_14","2","2","14","3","2","test","","68.77","60.28","11907.4325079545","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","42107","CLL19","172L1189,19NTPID-295,20NTPID-281,CLL19,RU1902026","plot","313923","22_DOP_1-rep2-RU1902026_15","2","2","15","3","3","test","","68.1","61.11","12162.2540790341","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","49060","RU2002182","181L1578","plot","313920","22_DOP_1-rep2-RU2002182_22","2","2","22","4","3","test","","68.02","60.44","8602.94231727273","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","56973","RU2102186","193L2086","plot","313919","22_DOP_1-rep2-RU2102186_17","2","2","17","3","5","test","","70.14","59.46","7416.76014","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","53477","203L1104","RU2302011","plot","313904","22_DOP_1-rep3-203L1104_35","3","3","35","6","2","test","","","","8884.02415551136","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","60424","AddiJo","181L2027,20NTPID-375,RU2002126","plot","313909","22_DOP_1-rep3-AddiJo_29","3","3","29","5","5","test","","","","9652.09529897727","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","47237","Avant","171L1755,19NTPID-347,20NTPID-330,RU1902212","plot","313911","22_DOP_1-rep3-Avant_27","3","3","27","5","3","test","","","","8445.1988775","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","43808","CLL17","17NTPID-127,19NTPID-103,20NTPID-100,CA17245,RU1602097","plot","313933","22_DOP_1-rep3-CLL17_26","3","3","26","5","2","test","","","","10999.6576523864","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","51423","DG263L","RU2102020","plot","313915","22_DOP_1-rep3-DG263L_30","3","3","30","5","6","test","","","","7155.38486693182","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","49955","DGL2065","20DGL2065","plot","313931","22_DOP_1-rep3-DGL2065_33","3","3","33","6","4","test","","","","9507.11074261364","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","46822","PVL03","183L2069,20NTPID-370,RU2002074","plot","313921","22_DOP_1-rep3-PVL03_28","3","3","28","5","4","test","","","","7799.43572386364","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","313898","RT7331MA","","plot","313932","22_DOP_1-rep3-RT7331MA_31","3","3","31","6","6","test","","","","10554.165024375","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","46101","RTv7231MA","","plot","313934","22_DOP_1-rep3-RTv7231MA_25","3","3","25","5","1","test","","","","12531.4434322159","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","42107","CLL19","172L1189,19NTPID-295,20NTPID-281,CLL19,RU1902026","plot","313916","22_DOP_1-rep3-RU1902026_34","3","3","34","6","3","test","","","","11589.9757295455","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","49060","RU2002182","181L1578","plot","313900","22_DOP_1-rep3-RU2002182_32","3","3","32","6","5","test","","","","10049.0602261364","","1"
"2022","167","LSU Rice","LSU rice breeding program","1424","22_DOP_1","DOP","RCBD","","","","no","no","2022-February-15","2022-July-21","32","Rice Research Station","56973","RU2102186","193L2086","plot","313903","22_DOP_1-rep3-RU2102186_36","3","3","36","6","1","test","","","","10465.23924375","","1"
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","53477","203L1104","RU2302011","plot","313965","22_DOP_2-rep1-203L1104_2","1","1","2","1","2","test","","69.47","62.96","10956.97","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","60424","AddiJo","181L2027,20NTPID-375,RU2002126","plot","313942","22_DOP_2-rep1-AddiJo_1","1","1","1","1","1","test","","66.53","57.37","9210.4","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","47237","Avant","171L1755,19NTPID-347,20NTPID-330,RU1902212","plot","313952","22_DOP_2-rep1-Avant_4","1","1","4","1","4","test","","68.43","61.24","10003.34","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","43808","CLL17","17NTPID-127,19NTPID-103,20NTPID-100,CA17245,RU1602097","plot","313957","22_DOP_2-rep1-CLL17_3","1","1","3","1","3","test","","68.41","62.25","11080.38","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","51423","DG263L","RU2102020","plot","313945","22_DOP_2-rep1-DG263L_5","1","1","5","1","5","test","","65.62","55.34","11731.55","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","49955","DGL2065","20DGL2065","plot","313969","22_DOP_2-rep1-DGL2065_10","1","1","10","2","3","test","","69.22","63.68","10640.66","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","46822","PVL03","183L2069,20NTPID-370,RU2002074","plot","313964","22_DOP_2-rep1-PVL03_7","1","1","7","2","6","test","","70.12","61.71","11172.87","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","313898","RT7331MA","","plot","313936","22_DOP_2-rep1-RT7331MA_9","1","1","9","2","4","test","","69.99","62.47","10620.09","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","46101","RTv7231MA","","plot","313950","22_DOP_2-rep1-RTv7231MA_11","1","1","11","2","2","test","","68.85","61.59","10464.1","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","42107","CLL19","172L1189,19NTPID-295,20NTPID-281,CLL19,RU1902026","plot","313946","22_DOP_2-rep1-RU1902026_6","1","1","6","1","6","test","","69.62","62.96","12188.65","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","49060","RU2002182","181L1578","plot","313948","22_DOP_2-rep1-RU2002182_8","1","1","8","2","5","test","","68.17","60.3","10959.31","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","56973","RU2102186","193L2086","plot","313959","22_DOP_2-rep1-RU2102186_12","1","1","12","2","1","test","","68.72","58.89","11650.78","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","53477","203L1104","RU2302011","plot","313949","22_DOP_2-rep2-203L1104_24","2","2","24","4","1","test","","68.64","60.01","19147.17","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","60424","AddiJo","181L2027,20NTPID-375,RU2002126","plot","313940","22_DOP_2-rep2-AddiJo_16","2","2","16","3","4","test","","68.62","60.87","11497.91","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","47237","Avant","171L1755,19NTPID-347,20NTPID-330,RU1902212","plot","313954","22_DOP_2-rep2-Avant_14","2","2","14","3","2","test","","69.44","62.87","11133.37","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","43808","CLL17","17NTPID-127,19NTPID-103,20NTPID-100,CA17245,RU1602097","plot","313939","22_DOP_2-rep2-CLL17_20","2","2","20","4","5","test","","67.95","62.41","12437.71","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","51423","DG263L","RU2102020","plot","313956","22_DOP_2-rep2-DG263L_13","2","2","13","3","1","test","","65.87","55.69","15519.16","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","49955","DGL2065","20DGL2065","plot","313937","22_DOP_2-rep2-DGL2065_23","2","2","23","4","2","test","","69.31","63.97","9832.83","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","46822","PVL03","183L2069,20NTPID-370,RU2002074","plot","313960","22_DOP_2-rep2-PVL03_22","2","2","22","4","3","test","","69.9","62.37","10882.93","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","313898","RT7331MA","","plot","313958","22_DOP_2-rep2-RT7331MA_15","2","2","15","3","3","test","","70.46","63.02","11127.93","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","46101","RTv7231MA","","plot","313951","22_DOP_2-rep2-RTv7231MA_19","2","2","19","4","6","test","","70.95","63.02","10900.4","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","42107","CLL19","172L1189,19NTPID-295,20NTPID-281,CLL19,RU1902026","plot","313955","22_DOP_2-rep2-RU1902026_21","2","2","21","4","4","test","","67.56","60.4","10416.09","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","49060","RU2002182","181L1578","plot","313970","22_DOP_2-rep2-RU2002182_18","2","2","18","3","6","test","","67.97","60.27","12255.44","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","56973","RU2102186","193L2086","plot","313961","22_DOP_2-rep2-RU2102186_17","2","2","17","3","5","test","","68.66","59.28","11437.54","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","53477","203L1104","RU2302011","plot","313967","22_DOP_2-rep3-203L1104_25","3","3","25","5","1","test","","","","9522.77","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","60424","AddiJo","181L2027,20NTPID-375,RU2002126","plot","313941","22_DOP_2-rep3-AddiJo_27","3","3","27","5","3","test","","","","9612.83","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","47237","Avant","171L1755,19NTPID-347,20NTPID-330,RU1902212","plot","313938","22_DOP_2-rep3-Avant_32","3","3","32","6","5","test","","","","10603.06","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","43808","CLL17","17NTPID-127,19NTPID-103,20NTPID-100,CA17245,RU1602097","plot","313947","22_DOP_2-rep3-CLL17_35","3","3","35","6","2","test","","","","9373.63","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","51423","DG263L","RU2102020","plot","313944","22_DOP_2-rep3-DG263L_34","3","3","34","6","3","test","","","","11346.62","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","49955","DGL2065","20DGL2065","plot","313943","22_DOP_2-rep3-DGL2065_30","3","3","30","5","6","test","","","","10883.15","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","46822","PVL03","183L2069,20NTPID-370,RU2002074","plot","313963","22_DOP_2-rep3-PVL03_33","3","3","33","6","4","test","","","","10201.35","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","313898","RT7331MA","","plot","313968","22_DOP_2-rep3-RT7331MA_31","3","3","31","6","6","test","","","","11232.32","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","46101","RTv7231MA","","plot","313935","22_DOP_2-rep3-RTv7231MA_36","3","3","36","6","1","test","","","","11669.08","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","42107","CLL19","172L1189,19NTPID-295,20NTPID-281,CLL19,RU1902026","plot","313953","22_DOP_2-rep3-RU1902026_29","3","3","29","5","5","test","","","","12630.14","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","49060","RU2002182","181L1578","plot","313962","22_DOP_2-rep3-RU2002182_28","3","3","28","5","4","test","","","","13168.62","",""
"2022","167","LSU Rice","LSU rice breeding program","1425","22_DOP_2","DOP","RCBD","","","","no","no","2022-March-04","2022-July-21","32","Rice Research Station","56973","RU2102186","193L2086","plot","313966","22_DOP_2-rep3-RU2102186_26","3","3","26","5","2","test","","","","12100.17","",""
"2022","167","LSU Rice","LSU rice breeding program","1426","22_DOP_3","DOP","RCBD","","","","no","no","2022-March-21","2022-July-28","32","Rice Research Station","53477","203L1104","RU2302011","plot","313986","22_DOP_3-rep1-203L1104_9","1","1","9","2","4","test","","69.23","63.29","10931.1885138068","",""
"2022","167","LSU Rice","LSU rice breeding program","1426","22_DOP_3","DOP","RCBD","","","","no","no","2022-March-21","2022-July-28","32","Rice Research Station","60424","AddiJo","181L2027,20NTPID-375,RU2002126","plot","313982","22_DOP_3-rep1-AddiJo_11","1","1","11","2","2","test","","66.79","56.74","10703.9379502841","",""
"2022","167","LSU Rice","LSU rice breeding program","1426","22_DOP_3","DOP","RCBD","","","","no","no","2022-March-21","2022-July-28","32","Rice Research Station","47237","Avant","171L1755,19NTPID-347,20NTPID-330,RU1902212","plot","313974","22_DOP_3-rep1-Avant_6","1","1","6","1","6","test","","69.38","62.14","10730.0391102273","",""
